"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"56237","17477","100","0","0","2010-07-26 16:31:01.0","2010-07-26 13:41:12.0"
"56251","17478","3012","18","0","2010-07-27 15:14:13.0","2010-07-26 13:42:04.0"
"56606","17477","101","0","0","2010-07-26 13:48:10.0","2010-07-26 13:46:48.0"
"56873","17477","1","0","0","2010-07-26 16:58:01.0","2010-07-26 13:49:01.0"
"56913","22156","10000","1","0","2010-07-26 13:49:50.0","2010-07-26 13:49:50.0"
"57017","17477","3027","13","0","2010-07-26 17:01:44.0","2010-07-26 13:53:33.0"
"57222","17478","2004","11","0","2010-07-26 14:56:54.0","2010-07-26 13:56:22.0"
"57236","17478","3040","9","0","2010-07-26 14:55:52.0","2010-07-26 13:56:22.0"
"57288","17477","3039","5","0","2010-07-26 15:34:35.0","2010-07-26 13:59:05.0"
"57493","17478","3018","1","0","2010-07-26 14:30:44.0","2010-07-26 14:03:19.0"
"57793","17478","31000","0","0","2010-07-26 14:07:19.0","2010-07-26 14:07:19.0"
"58354","17478","3013","13","0","2010-07-27 15:17:16.0","2010-07-26 14:18:30.0"
"58406","17478","3085","18","0","2010-07-27 15:15:18.0","2010-07-26 14:18:46.0"
"58423","17478","2024","14","0","2010-07-27 15:16:47.0","2010-07-26 14:19:08.0"
"58439","17478","3041","9","0","2010-07-27 15:13:00.0","2010-07-26 14:19:08.0"
"58486","17478","3084","20","0","2010-07-27 15:14:13.0","2010-07-26 14:19:35.0"
"58873","17477","3001","5","0","2010-07-26 14:24:20.0","2010-07-26 14:24:20.0"
"59004","17478","2022","25","0","2010-07-26 16:51:37.0","2010-07-26 14:26:42.0"
"60100","17477","21002","0","0","2010-07-26 14:22:51.0","2010-07-26 14:22:51.0"
"60101","17477","3000","4","0","2010-07-26 16:36:26.0","2010-07-26 14:22:51.0"
"60104","17472","21016","0","0","2010-07-26 14:22:51.0","2010-07-26 14:22:51.0"
"60105","17472","2036","0","0","2010-07-26 15:41:24.0","2010-07-26 14:22:51.0"
"61578","17478","31001","0","0","2010-07-26 14:52:17.0","2010-07-26 14:52:17.0"
"61622","17478","31002","0","0","2010-07-26 14:53:09.0","2010-07-26 14:53:09.0"
"61926","17477","3","12","0","2010-07-30 11:33:55.0","2010-07-26 14:57:03.0"
"62352","17477","2000","4","0","2010-07-26 17:08:26.0","2010-07-26 15:03:13.0"
"62413","17477","20001","4","0","2010-07-27 10:29:31.0","2010-07-26 15:07:01.0"
"62460","17477","2","0","0","2010-07-26 15:45:31.0","2010-07-26 15:07:38.0"
"62889","17478","31003","0","0","2010-07-26 15:13:00.0","2010-07-26 15:13:00.0"
"62900","17477","3063","0","0","2010-07-26 15:32:30.0","2010-07-26 15:13:07.0"
"62949","17478","31016","0","0","2010-07-26 15:13:29.0","2010-07-26 15:13:29.0"
"63011","17472","2","0","0","2010-07-27 11:56:28.0","2010-07-26 15:16:36.0"
"63136","17478","3030","2","0","2010-07-26 16:03:58.0","2010-07-26 15:18:26.0"
"63216","17478","3082","28","0","2010-07-26 16:58:32.0","2010-07-26 15:19:15.0"
"63254","17478","3020","13","0","2010-07-26 16:56:56.0","2010-07-26 15:19:41.0"
"63591","17472","3063","5","0","2010-07-26 15:34:05.0","2010-07-26 15:21:56.0"
"63744","17472","3039","4","0","2010-07-26 15:56:36.0","2010-07-26 15:23:08.0"
"63830","17472","2000","10","0","2010-07-27 12:57:27.0","2010-07-26 15:24:25.0"
"65140","17472","3027","18","0","2010-07-27 12:49:38.0","2010-07-26 15:54:59.0"
"67614","17478","3042","13","0","2010-07-26 17:00:39.0","2010-07-26 16:29:51.0"
"68457","17477","3009","1","0","2010-07-26 16:57:02.0","2010-07-26 16:41:22.0"
"69688","18139","30000","1","0","2010-07-26 18:30:56.0","2010-07-26 18:30:56.0"
"69965","22646","10000","1","0","2010-07-26 20:52:55.0","2010-07-26 20:52:55.0"
"69966","22646","2","1","0","2010-07-26 20:53:42.0","2010-07-26 20:53:42.0"
"70612","22648","10000","1","0","2010-07-26 21:17:38.0","2010-07-26 21:17:38.0"
"70705","22648","2","1","0","2010-07-26 21:18:25.0","2010-07-26 21:18:25.0"
"70753","15111","2","500","500","2010-07-27 11:11:39.0","2010-07-26 21:18:49.0"
"73561","22649","20000","1","0","2010-07-26 21:56:49.0","2010-07-26 21:56:49.0"
"73562","22649","2","1","0","2010-07-26 21:57:17.0","2010-07-26 21:57:17.0"
"73657","15111","3","508","500","2010-07-30 11:33:55.0","2010-07-26 21:59:31.0"
"75119","17477","21004","4","0","2010-07-27 10:46:10.0","2010-07-27 10:33:55.0"
"75257","17472","102","18","0","2010-07-27 13:43:44.0","2010-07-27 11:51:16.0"
"75281","17472","3","39","0","2010-07-30 11:33:55.0","2010-07-27 11:54:05.0"
"75377","17472","3015","6","0","2010-07-27 13:20:40.0","2010-07-27 11:58:16.0"
"75407","17472","3030","4","0","2010-07-27 13:20:40.0","2010-07-27 11:59:13.0"
"75436","17472","2001","11","0","2010-07-27 13:27:10.0","2010-07-27 12:05:43.0"
"75674","17472","2021","5","0","2010-07-27 12:50:37.0","2010-07-27 12:29:22.0"
